date,portfolio_value,benchmark_value
2026-06-08,10079.26,12468.22
2026-06-09,9921.44,12361.53
2026-06-10,9802.9,12201.44
2026-06-11,9937.93,12359.71
2026-06-12,9904.67,12567.05
2026-06-15,9983.26,12668.13
2026-06-16,9874.79,12701.14
2026-06-17,9816.86,12544.42
2026-06-18,10018.54,12672.04
2026-06-19,10018.54,12704.69
2026-06-22,10085.43,12540.83
2026-06-23,9799.04,12223.68
2026-06-24,9750.81,12211.17
2026-06-25,9495.02,12133.89
2026-06-26,9536.2,11986.59
2026-06-29,9704.83,12126.09
2026-06-30,10037.56,12224.47
2026-07-01,9593.72,12152.84
2026-07-02,9387.01,12041.97
2026-07-03,9387.01,12041.97
2026-07-06,9665.61,12238.26
2026-07-07,9405.47,12186.78
2026-07-08,9424.46,12076.71
2026-07-09,9455.83,12144.69
2026-07-10,9408.19,12240.07
2026-07-13,9156.81,12123.22
2026-07-14,9297.43,12218.48
2026-07-15,9464.53,12226.04
2026-07-16,9191.05,12085.83
