date,portfolio_value,benchmark_value
2026-06-08,10080.06,12468.22
2026-06-09,10021.61,12361.53
2026-06-10,9798.45,12201.44
2026-06-11,10258.1,12359.71
2026-06-12,10161.45,12567.05
2026-06-15,10416.75,12668.13
2026-06-16,10049.04,12701.14
2026-06-17,10170.95,12544.42
2026-06-18,10618.9,12672.04
2026-06-19,10618.9,12704.69
2026-06-22,10634.28,12540.83
2026-06-23,9919.02,12223.68
2026-06-24,9927.83,12211.17
2026-06-25,10062.98,12133.89
2026-06-26,9919.09,11986.59
2026-06-29,10242.87,12126.09
2026-06-30,10578.65,12224.47
2026-07-01,10110.85,12152.84
2026-07-02,9915.43,12041.97
2026-07-03,9915.43,12041.97
2026-07-06,10171.53,12238.26
2026-07-07,10058.45,12186.78
2026-07-08,9999.25,12076.71
2026-07-09,10036.66,12144.69
2026-07-10,10049.26,12240.07
2026-07-13,9859.65,12123.22
2026-07-14,9914.72,12218.48
2026-07-15,10220.47,12226.04
2026-07-16,10283.6,12085.82
2026-07-17,10140.2,11974.98
2026-07-20,10002.47,11933.02
2026-07-21,10117.89,12031.48
