date,ticker,action,shares,price,value,reason
2026-05-28,TSM,BUY,7.893657,422.28,3333.33,"New entry — rank #1 (+23.7% 90d momentum, rank #1)"
2026-05-28,AAPL,BUY,10.726391,310.76,3333.33,"New entry — rank #2 (+21.8% 90d momentum, rank #2)"
2026-05-28,ASML,BUY,2.071397,1609.22,3333.33,"New entry — rank #3 (+18.9% 90d momentum, rank #3)"
2026-05-28,TSM,SELL,0.015097,424.05,6.4,"Trim to equal weight (+24.2% 90d momentum, rank #1)"
2026-05-28,AAPL,SELL,0.027455,312.265,8.57,"Trim to equal weight (+22.4% 90d momentum, rank #2)"
2026-05-28,ASML,BUY,0.009327,1605.645,14.98,"Add to position — rank #3 (+18.6% 90d momentum, rank #3)"
2026-05-28,TSM,SELL,0.007752,424.86,3.29,"Trim to equal weight (+24.4% 90d momentum, rank #1)"
2026-05-28,AAPL,BUY,0.001493,312.51,0.47,"Add to position — rank #2 (+22.5% 90d momentum, rank #2)"
2026-05-28,ASML,BUY,0.001761,1605.77,2.83,"Add to position — rank #3 (+18.6% 90d momentum, rank #3)"
2026-05-29,TSM,BUY,0.059113,419.14,24.78,"Add to position — rank #1 (+28.5% 90d momentum, rank #1)"
2026-05-29,AAPL,BUY,0.017014,310.125,5.28,"Add to position — rank #2 (+25.9% 90d momentum, rank #2)"
2026-05-29,ASML,SELL,0.018661,1610.48,30.05,"Trim to equal weight (+21.9% 90d momentum, rank #3)"
2026-05-29,TSM,BUY,0.010394,419.975,4.37,"Add to position — rank #1 (+28.7% 90d momentum, rank #1)"
2026-05-29,AAPL,SELL,0.033646,312.13,10.5,"Trim to equal weight (+26.8% 90d momentum, rank #2)"
2026-05-29,ASML,BUY,0.003805,1612.83,6.14,"Add to position — rank #3 (+22.1% 90d momentum, rank #3)"
2026-05-29,TSM,BUY,0.018581,418.45,7.78,"Add to position — rank #1 (+28.3% 90d momentum, rank #1)"
2026-05-29,AAPL,SELL,0.011491,312.06,3.59,"Trim to equal weight (+26.7% 90d momentum, rank #2)"
2026-05-29,ASML,SELL,0.002598,1612.76,4.19,"Trim to equal weight (+22.0% 90d momentum, rank #3)"
